document_name,page_number,detection_type
F1962003.json,2,Deux Colonnes
F1962004.json,7,Deux Colonnes
F1962005.json,13,Deux Colonnes
F1962006.json,2,Ligne Horizontale (3+ layouts)
F1962009.json,6,Deux Colonnes
F1962011.json,4,Deux Colonnes
F1962011.json,7,Deux Colonnes
F1962012.json,3,Deux Colonnes
F1962016.json,4,Ligne Horizontale (3+ layouts)
F1962016.json,5,Deux Colonnes
F1962018.json,9,Ligne Horizontale (3+ layouts)
F1962018.json,16,Deux Colonnes
F1962018.json,17,Deux Colonnes
F1962019.json,21,Deux Colonnes
F1962020.json,2,Deux Colonnes
F1963001.json,9,Deux Colonnes
F1963004.json,6,Deux Colonnes
F1963005.json,9,Deux Colonnes
F1963005.json,16,Deux Colonnes
F1963005.json,20,Deux Colonnes
F1963006.json,3,Deux Colonnes
F1963006.json,4,Deux Colonnes
F1963006.json,13,Deux Colonnes
F1963007.json,3,Deux Colonnes
F1963007.json,5,Deux Colonnes
F1963008.json,4,Deux Colonnes
F1963008.json,10,Deux Colonnes
F1963008.json,12,Deux Colonnes
F1963008.json,19,Deux Colonnes
F1963010.json,3,Ligne Horizontale (3+ layouts)
F1963010.json,11,Deux Colonnes
F1963011.json,2,Deux Colonnes
F1963013.json,5,Deux Colonnes
F1963015.json,3,Deux Colonnes
F1963016.json,2,Deux Colonnes
F1963017.json,5,Deux Colonnes
F1963017.json,6,Deux Colonnes
F1963020.json,5,Deux Colonnes
F1963021.json,12,Deux Colonnes
F1963023.json,5,Deux Colonnes
F1963025.json,3,Deux Colonnes
F1963026.json,7,Deux Colonnes
F1963029.json,2,Deux Colonnes
F1963029.json,3,Deux Colonnes
F1963029.json,8,Deux Colonnes
F1963029.json,27,Deux Colonnes
F1963034.json,2,Deux Colonnes
F1963034.json,3,Deux Colonnes
F1963034.json,14,Deux Colonnes
F1963035.json,26,Deux Colonnes
F1963037.json,9,Deux Colonnes
F1963038.json,2,Deux Colonnes
F1963040.json,3,Deux Colonnes
F1963040.json,5,Deux Colonnes
F1963041.json,2,Deux Colonnes
F1963043.json,14,Deux Colonnes
F1963043.json,15,Deux Colonnes
F1963045.json,7,Deux Colonnes
F1963046.json,5,Deux Colonnes
F1963047.json,13,Deux Colonnes
