document_name,page_number,full_page,detection_type,table_boxes
F1962001.json,2,False,detection label,"[[303.134765625, 722.8125, 797.236328125, 913.7109375]]"
F1962002.json,2,False,detection label,"[[538.5625, 84.3359375, 1037.53125, 619.765625]]"
F1962002.json,5,True,detection label,[]
F1962002.json,10,False,detection label,"[[16.025390625, 625.400390625, 536.6015625, 906.875], [20.341796875, 971.640625, 541.6796875, 1124.2578125]]"
F1962002.json,11,False,detection label,"[[514.2587890625, -2.9931640625, 1002.2412109375, 138.25927734375]]"
F1962003.json,7,False,detection label,"[[284.1875, 32.041015625, 775.091796875, 781.09375]]"
F1962004.json,3,False,detection label,"[[16.3909912109375, 374.1796875, 526.8994140625, 586.26953125], [15.6109619140625, 602.5, 530.53955078125, 839.8828125]]"
F1962004.json,4,False,detection label,"[[16.890869140625, 188.92578125, 1044.658203125, 547.98828125]]"
F1962005.json,3,False,detection label,"[[12.171875, 731.015625, 524.078125, 1199.453125], [535.015625, 235.2392578125, 1029.390625, 351.6259765625]]"
F1962005.json,7,True,detection label,[]
F1962005.json,10,False,detection label,"[[57.3447265625, 1092.63671875, 1070.0166015625, 1372.40234375]]"
F1962006.json,1,False,detection label,"[[570.119140625, 1172.6171875, 958.12890625, 1282.8515625]]"
F1962006.json,2,False,detection label,"[[42.095703125, 1235.5078125, 496.2265625, 1349.84375], [537.0048828125, 23.367919921875, 1009.5224609375, 144.8388671875]]"
F1962006.json,3,False,detection label,"[[32.263916015625, 558.75, 533.0, 987.5390625]]"
F1962006.json,5,False,detection label,"[[575.310546875, 741.26953125, 1035.5703125, 986.85546875]]"
F1962007.json,3,False,detection label,"[[541.71875, 321.201171875, 1040.21875, 500.478515625], [530.375, 1057.08984375, 1044.34375, 1245.25390625]]"
F1962007.json,4,False,detection label,"[[30.839599609375, 24.0087890625, 1028.70703125, 686.07421875]]"
F1962007.json,7,False,detection label,"[[524.7197265625, 880.0390625, 881.5830078125, 1092.8125]]"
F1962007.json,9,True,detection label,[]
F1962007.json,10,False,detection label,"[[548.056640625, 1246.4453125, 883.6123046875, 1378.5546875]]"
F1962007.json,11,False,detection label,"[[542.9833984375, 348.203125, 809.54296875, 390.078125], [538.9248046875, 374.86328125, 1002.326171875, 560.29296875]]"
F1962008.json,1,False,detection label,"[[10.29296875, 699.5703125, 1026.17041015625, 1137.9296875], [3.1904296875, 1155.52734375, 1018.05322265625, 1379.23828125]]"
F1962008.json,2,False,detection label,"[[7.65380859375, -7.265625, 1015.7626953125, 415.029296875], [11.436767578125, 431.6015625, 1013.7451171875, 717.51953125], [252.78955078125, 857.48046875, 768.10498046875, 917.12890625], [13.2021484375, 912.8515625, 1014.24951171875, 1375.8203125]]"
F1962008.json,3,True,detection label,[]
F1962008.json,5,False,detection label,"[[14.2109375, -18.544921875, 1026.859375, 894.5703125], [18.24609375, 938.828125, 1024.841796875, 1370.3515625]]"
F1962008.json,6,False,detection label,"[[9.78564453125, 22.55615234375, 1028.19970703125, 364.443359375], [27.288330078125, 410.068359375, 1022.619140625, 1107.8515625], [264.46240234375, 1189.70703125, 774.53759765625, 1388.80859375]]"
F1962010.json,7,True,detection label,[]
F1962010.json,8,True,detection label,[]
F1962010.json,10,True,detection label,[]
F1962010.json,11,True,detection label,[]
F1962010.json,12,True,detection label,[]
F1962010.json,13,True,detection label,[]
F1962010.json,14,True,detection label,[]
F1962010.json,15,False,detection label,"[[39.2421875, -1.11328125, 1046.40625, 751.015625]]"
F1962012.json,4,False,detection label,"[[24.551025390625, 575.83984375, 1032.912109375, 760.5859375], [28.081787109375, 858.1640625, 1031.9033203125, 1374.453125]]"
F1962012.json,7,False,detection label,"[[37.160888671875, 1077.59765625, 513.133544921875, 1224.74609375], [39.0523681640625, 1264.90234375, 507.83740234375, 1371.03515625]]"
F1962012.json,9,False,detection label,"[[546.8515625, 1293.61328125, 830.1455078125, 1399.74609375]]"
F1962012.json,12,False,detection label,"[[555.42626953125, 895.76171875, 780.21044921875, 1064.78515625]]"
F1962013.json,8,False,detection label,"[[28.013916015625, 49.6435546875, 1032.548828125, 677.1875]]"
F1962013.json,9,True,detection label,[]
F1962013.json,10,True,detection label,[]
F1962013.json,11,True,detection label,[]
F1962013.json,12,True,detection label,[]
F1962013.json,14,True,detection label,[]
F1962013.json,15,False,detection label,"[[54.5625, 579.599609375, 522.46484375, 690.517578125]]"
F1962014.json,3,False,detection label,"[[561.0224609375, 1250.546875, 793.0732421875, 1336.171875]]"
F1962014.json,5,False,detection label,"[[52.76708984375, 1100.15625, 1061.80078125, 1381.2890625]]"
F1962014.json,6,True,detection label,[]
F1962014.json,7,True,detection label,[]
F1962014.json,8,True,detection label,[]
F1962014.json,9,True,detection label,[]
F1962014.json,10,False,detection label,"[[32.40234375, -10.68359375, 1028.671875, 384.609375], [11.58203125, 418.271484375, 1028.671875, 1401.796875]]"
F1962014.json,11,True,detection label,[]
F1962014.json,12,False,detection label,"[[24.298828125, 8.02978515625, 1029.8857421875, 352.48046875]]"
